Time,Pac
2023-04-26T00:00:00,0
2023-04-26T00:15:00,0
2023-04-26T00:30:00,0
2023-04-26T00:45:00,0
2023-04-26T01:00:00,0
2023-04-26T01:15:00,0
2023-04-26T01:30:00,0
2023-04-26T01:45:00,0
2023-04-26T02:00:00,29
2023-04-26T02:15:00,36
2023-04-26T02:30:00,43
2023-04-26T02:45:00,50
2023-04-26T03:00:00,50
2023-04-26T03:15:00,56
2023-04-26T03:30:00,62
2023-04-26T03:45:00,68
2023-04-26T04:00:00,72
2023-04-26T04:15:00,74
2023-04-26T04:30:00,76
2023-04-26T04:45:00,78
2023-04-26T05:00:00,78
2023-04-26T05:15:00,43
2023-04-26T05:30:00,8
2023-04-26T05:45:00,-27
2023-04-26T06:00:00,6
2023-04-26T06:15:00,24
2023-04-26T06:30:00,42
2023-04-26T06:45:00,60
2023-04-26T07:00:00,72
2023-04-26T07:15:00,73
2023-04-26T07:30:00,74
2023-04-26T07:45:00,75
2023-04-26T08:00:00,77
2023-04-26T08:15:00,90
2023-04-26T08:30:00,103
2023-04-26T08:45:00,116
2023-04-26T09:00:00,209
2023-04-26T09:15:00,224
2023-04-26T09:30:00,239
2023-04-26T09:45:00,254
2023-04-26T10:00:00,240
2023-04-26T10:15:00,247
2023-04-26T10:30:00,254
2023-04-26T10:45:00,261
2023-04-26T11:00:00,274
2023-04-26T11:15:00,285
2023-04-26T11:30:00,296
2023-04-26T11:45:00,307
2023-04-26T12:00:00,313
2023-04-26T12:15:00,322
2023-04-26T12:30:00,331
2023-04-26T12:45:00,340
2023-04-26T13:00:00,356
2023-04-26T13:15:00,373
2023-04-26T13:30:00,390
2023-04-26T13:45:00,407
2023-04-26T14:00:00,404
2023-04-26T14:15:00,413
2023-04-26T14:30:00,423
2023-04-26T14:45:00,432
2023-04-26T15:00:00,451
2023-04-26T15:15:00,474
2023-04-26T15:30:00,497
2023-04-26T15:45:00,519
2023-04-26T16:00:00,527
2023-04-26T16:15:00,545
2023-04-26T16:30:00,563
2023-04-26T16:45:00,580
2023-04-26T17:00:00,586
2023-04-26T17:15:00,596
2023-04-26T17:30:00,606
2023-04-26T17:45:00,616
2023-04-26T18:00:00,643
2023-04-26T18:15:00,657
2023-04-26T18:30:00,671
2023-04-26T18:45:00,685
2023-04-26T19:00:00,694
2023-04-26T19:15:00,707
2023-04-26T19:30:00,719
2023-04-26T19:45:00,732
2023-04-26T20:00:00,753
2023-04-26T20:15:00,766
2023-04-26T20:30:00,778
2023-04-26T20:45:00,791
2023-04-26T21:00:00,818
2023-04-26T21:15:00,834
2023-04-26T21:30:00,851
2023-04-26T21:45:00,867
2023-04-26T22:00:00,942
2023-04-26T22:15:00,966
2023-04-26T22:30:00,989
2023-04-26T22:45:00,1013
2023-04-26T23:00:00,1001
2023-04-26T23:15:00,1001
2023-04-26T23:30:00,1001
2023-04-26T23:45:00,1001
